Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
FOR SALE,375000,0,328000,434000,0,116 Silverridge Ct,4,4,2413,155,26,0.30,Acres,1992,14, ,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
FOR SALE,283999,298678,281000,313000,2000,134 Braeside Ct,4,4,1978,144,28,1307,Sqft,2006,155, ,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
FOR SALE,458000,434853,415000,476000,0,203 Hickorywood Blvd,4,3,2543,180,28,0.31,Acres,1998,55, ,https://www.movoto.com/home/203-hickorywood-blvd-cary-nc-27519-413_2329844
FOR SALE,355000,0,334000,382000,10000,120 Franklin Hills Pt,3,3,2113,168,28,0.28,Acres,2007,187,Open 8/8,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
FOR SALE,468000,561106,453000,657000,7000,106 Scots Fir Ln,4,3,3083,152,31,9148,Sqft,1999,50, ,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
FOR SALE,470000,362835,319000,471000,15000,705 Modena Dr,3,3,2199,214,31,0.70,Acres,1995,0, ,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
FOR SALE,315000,268100,257000,316000,0,104 Maple Hill Dr,3,3,1532,206,31,7841,Sqft,1995,47, ,https://www.movoto.com/home/104-maple-hill-dr-cary-nc-27519-413_2183251
FOR SALE,475000,426758,408000,475000,17000,117 Parkcrest Dr,5,3,2701,176,33,10454,Sqft,1992,53, ,https://www.movoto.com/home/117-parkcrest-dr-cary-nc-27519-413_2329047
FOR SALE,325000,312800,267000,359000,4000,204 Skyros Loop,3,3,1700,191,33,2178,Sqft,2013,91, ,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
FOR SALE,400000,401337,364000,462000,0,316 Tweed Cir,3,3,2347,170,33,4356,Sqft,1985,340, ,https://www.movoto.com/home/316-tweed-cir-cary-nc-27511-413_2325306
FOR SALE,415000,360139,292000,416000,15000,310 Canon Gate Dr,4,3,2131,195,63,0.34,Acres,2000,48, ,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
FOR SALE,355000,0,308000,470000,4000,607 Rockcastle Dr #607,3,3,2155,165,144,2744,Sqft,2016,115, ,https://www.movoto.com/home/607-rockcastle-dr-apt-607-cary-nc-27519-413_2308065
FOR SALE,387500,368420,283000,558000,2000,110 Prestwick Pl,3,3,2180,178,161,3049,Sqft,1984,340, ,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
FOR SALE,337900,344344,299000,363000,6000,2032 Chipley Dr,3,3,1892,179,195,2004,Sqft,2020,135, ,https://www.movoto.com/home/2032-chipley-dr-cary-nc-27519-413_2298176
