Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
IN CONTRACT,349900,330330,278000,400000,,102 State House Dr,3,3,2002,175,10,0.28,Acres,2004,40, ,https://www.movoto.com/home/102-state-house-dr-morrisville-nc-27560-413_2335142
IN CONTRACT,309000,323204,305000,333000,,809 Meeting Hall Dr,3,3,1649,187,11,4792,Sqft,2002,110, ,https://www.movoto.com/home/809-meeting-hall-dr-morrisville-nc-27560-413_2334814
IN CONTRACT,329900,286455,236000,339000,10000,104 State House Dr,3,3,1695,195,13,10454,Sqft,2004,31, ,https://www.movoto.com/home/104-state-house-dr-morrisville-nc-27560-413_2334625
SALE PENDING,429900,498996,430000,556000,,110 Priestly Ct,4,3,2988,144,14,10019,Sqft,2004,40, ,https://www.movoto.com/home/110-priestly-ct-morrisville-nc-27560-413_2334461
IN CONTRACT,237500,267200,237000,282000,,705 Keystone Park Dr #55,3,3,1600,148,14,,,2009,154, ,https://www.movoto.com/home/705-keystone-park-dr-apt-55-morrisville-nc-27560-413_2334371
IN CONTRACT,315000,331047,280000,355000,,700 Meeting Hall Dr,3,3,1809,174,15,4792,Sqft,2002,110, ,https://www.movoto.com/home/700-meeting-hall-dr-morrisville-nc-27560-pid_s64x43b5jh
IN CONTRACT,385000,444024,386000,494000,,437 Liberty Hill Pass,4,3,2643,146,15,4356,Sqft,2015,72, ,https://www.movoto.com/home/437-liberty-hill-pass-morrisville-nc-27560-413_2334008
IN CONTRACT,295000,319594,289000,359000,,1001 Epiphany Rd,3,3,2189,135,16,2265,Sqft,2018,140, ,https://www.movoto.com/home/1001-epiphany-rd-morrisville-nc-27560-413_2150532
SALE PENDING,349000,362514,248000,439000,,207 Mona Lisa Ln,3,2,1949,179,16,5227,Sqft,2019,41, ,https://www.movoto.com/home/207-mona-lisa-ln-morrisville-nc-27560-413_2333878
IN CONTRACT,275000,291725,275000,293000,,5417 Jessip St,3,3,1667,165,16,2657,Sqft,2015,143, ,https://www.movoto.com/home/5417-jessip-st-morrisville-nc-27560-413_2333843
SALE PENDING,268000,297714,269000,299000,,1012 Delight Dr,3,3,1711,,,,,,, ,https://www.movoto.com/home/1012-delight-dr-morrisville-nc-27560-413_2332873
IN CONTRACT,454900,532396,456000,593000,,1132 Survada Ln,5,4,3188,143,22,0.29,Acres,2013,70, ,https://www.movoto.com/home/1132-survada-ln-morrisville-nc-27560-413_2172963
IN CONTRACT,399900,457052,401000,494000,,301 Kirkeenan Cir,4,4,2804,,,,,,, ,https://www.movoto.com/home/301-kirkeenan-cir-morrisville-nc-27560-413_2332780
SALE PENDING,344000,392062,345000,447000,,311 Mainline Station Dr,4,4,2761,,,,,,, ,https://www.movoto.com/home/311-mainline-station-dr-morrisville-nc-27560-413_2332681
SALE PENDING,429900,561132,432000,586000,,1413 Hemby Ridge Ln,4,3,3597,120,23,6534,Sqft,2008,70, ,https://www.movoto.com/home/1413-hemby-ridge-ln-morrisville-nc-27560-413_2199548
IN CONTRACT,390000,446168,389000,508000,,2023 Addenbrock Dr,4,3,2594,,,,,,, ,https://www.movoto.com/home/2023-addenbrock-dr-morrisville-nc-27560-413_2332569
