Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,HOA,Open,Link
2020,337900,344344,299000,363000,6000,2032 Chipley Dr,3,3,1892,179,195,2004,Sqft,135,,https://www.movoto.com/home/2032-chipley-dr-cary-nc-27519-413_2298176
2020,500000,538006,457000,638000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,239,4356,Sqft,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
2019,399900,423963,401000,429000,0,525 Gathering Park Cir #15,3,4,2601,154,45,0.54,Acres,261,,https://www.movoto.com/home/525-gathering-park-cir-apt-15-cary-nc-27519-413_2251661
2019,418900,439569,419000,484000,0,1515 Gathering Park Cir #5,3,4,2601,161,45,2352,Sqft,261,,https://www.movoto.com/home/1515-gathering-park-cir-apt-5-cary-nc-27519-413_2292511
2019,419900,439569,419000,484000,0,1519 Gathering Park Cir #7,3,4,2601,161,45,2352,Sqft,261,,https://www.movoto.com/home/1519-gathering-park-cir-apt-7-cary-nc-27519-413_2292539
2019,389900,418761,390000,421000,0,1505 Gathering Park Cir #3,3,4,2601,150,45,0.45,Acres,261,,https://www.movoto.com/home/1505-gathering-park-cir-apt-3-cary-nc-27519-413_2250615
2019,429675,418761,401000,429000,0,529 Gathering Park Cir #13,3,4,2601,165,45,0.54,Acres,261,,https://www.movoto.com/home/529-gathering-park-cir-apt-13-cary-nc-27519-413_2251642
2019,420800,410958,390000,421000,800,517 Gathering Park Cir #17,3,4,2601,162,48,0.45,Acres,261,,https://www.movoto.com/home/517-gathering-park-cir-apt-17-cary-nc-27519-413_2292552
2019,345990,341100,282000,364000,4000,1016 Salt Glaze Ln,4,4,1895,183,245,1525,Sqft,154,,https://www.movoto.com/home/1016-salt-glaze-ln-cary-nc-27519-413_2291805
2019,376990,351288,315000,396000,2000,318 Clementine Dr #LOT 8,4,4,2142,176,296,1786,Sqft,141,,https://www.movoto.com/home/318-clementine-dr-lot-8-cary-nc-27519-413_2284245
2018,419000,406534,348000,458000,0,1028 Laurel Twist Rd,4,3,2449,171,48,3485,Sqft,150,,https://www.movoto.com/home/1028-laurel-twist-rd-cary-nc-27513-413_2161538
2018,465000,465120,435000,520000,4000,1016 Regency Cottage Pl,4,3,2720,171,150,5663,Sqft,265,Open 8/8,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
2017,365000,315414,276000,364000,0,1113 Laurel Twist Rd,3,3,1947,187,13,3049,Sqft,150,,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
2017,465000,428166,378000,494000,0,626 Chronicle Dr,4,4,2643,176,15,3485,Sqft,178,,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
2017,469900,475488,423000,518000,0,360 Roberts Ridge Dr,5,4,3302,142,22,3485,Sqft,140,,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
2017,499900,482562,384000,626000,10000,1623 Vineyard Mist Dr,3,3,2822,177,23,6970,Sqft,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
2017,429900,408210,381000,438000,5000,524 Cedar Ridge Rd,4,3,2474,174,155,5227,Sqft,127,,https://www.movoto.com/home/524-cedar-ridge-rd-cary-nc-27513-413_2133553
2016,440000,496440,441000,549000,0,231 Daymire Glen Ln,3,4,2520,175,1,3049,Sqft,135,,https://www.movoto.com/home/231-daymire-glen-ln-cary-nc-27519-413_2335505
2016,350000,321914,290000,349000,5000,609 Balsam Fir Dr,4,4,2267,154,7,1742,Sqft,241,,https://www.movoto.com/home/609-balsam-fir-dr-cary-nc-27519-413_2313673
2016,499000,642642,498000,738000,15000,1018 Regency Cottage Pl,4,4,3531,141,43,6229,Sqft,260,,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
2016,355000,0,308000,356000,4000,607 Rockcastle Dr #607,3,3,2155,165,145,2744,Sqft,115,,https://www.movoto.com/home/607-rockcastle-dr-apt-607-cary-nc-27519-413_2308065
2015,404900,377910,351000,404000,0,440 Methven Grove Dr,3,3,2210,183,3,2614,Sqft,125,,https://www.movoto.com/home/440-methven-grove-dr-cary-nc-27519-413_2148498
2015,469900,453900,379000,577000,0,737 Toms Creek Rd,4,3,2670,176,21,0.25,Acres,99,Open 8/9,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
2014,400000,331926,289000,400000,0,4022 Overcup Oak Ln,3,3,2258,177,3,4051,Sqft,91,,https://www.movoto.com/home/4022-overcup-oak-ln-cary-nc-27519-413_2335053
2013,275000,0,274000,361000,0,543 Berry Chase Way,3,4,1841,149,1,1307,Sqft,175,Open 8/8,https://www.movoto.com/home/543-berry-chase-way-cary-nc-27519-413_2335424
2013,325000,312800,267000,359000,4000,204 Skyros Loop,3,3,1700,191,34,2178,Sqft,91,,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
2013,341500,351405,335000,362000,0,703 Mountain Pine Dr,3,3,2055,166,59,0.90,Acres,241,,https://www.movoto.com/home/703-mountain-pine-dr-cary-nc-27519-413_2323920
2012,469900,471624,387000,540000,0,549 Angelica Cir,4,3,2742,171,1,4792,Sqft,260,Open 8/8,https://www.movoto.com/home/549-angelica-cir-cary-nc-27518-413_2335434
2011,425000,413208,375000,463000,0,241 Elverson Pl,3,2,1913,222,Listed Today,6534,Sqft,231,,https://www.movoto.com/home/241-elverson-pl-cary-nc-27519-413_2335753
2011,499900,721600,500000,873000,25000,932 Bentbury Way,6,4,4100,122,59,6098,Sqft,65,,https://www.movoto.com/home/932-bentbury-way-cary-nc-27518-413_2323897
2010,430000,0,366000,639000,0,920 Bentbury Way,5,3,3002,143,1,6534,Sqft,65,Open 8/8,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
2009,325000,366768,326000,471000,0,475 Panorama Park Pl,4,4,2547,128,3,2178,Sqft,184,,https://www.movoto.com/home/475-panorama-park-pl-cary-nc-27519-413_2335025
2009,299000,311004,282000,374000,6000,1803 Whirlaway Ct,3,3,1956,153,42,2178,Sqft,193,,https://www.movoto.com/home/1803-whirlaway-ct-cary-nc-27519-413_2327286
2007,355000,0,334000,431000,10000,120 Franklin Hills Pt,3,3,2113,168,29,0.28,Acres,187,Open 8/8,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
2007,279999,0,279000,304000,5000,147 Braeside Ct,3,4,1938,144,58,1307,Sqft,155,,https://www.movoto.com/home/147-braeside-ct-cary-nc-27519-413_2324125
2007,398000,0,294000,480000,6000,4000 Jockey Club Cir,4,3,2164,184,219,5227,Sqft,83,,https://www.movoto.com/home/4000-jockey-club-cir-cary-nc-27519-413_2287124
2006,425000,492802,424000,561000,0,1131 Brookhill Way,3,3,3119,136,14,5227,Sqft,88,,https://www.movoto.com/home/1131-brookhill-way-cary-nc-27519-413_2332924
2006,490000,494256,471000,527000,0,313 Millsfield Dr,5,3,2942,167,26,6534,Sqft,56,,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
2006,283999,300656,285000,311000,2000,134 Braeside Ct,4,4,1978,144,29,1307,Sqft,155,,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
2005,469500,486482,403000,545000,0,106 Trinity Grove Dr,4,3,3079,152,Listed Today,9583,Sqft,52,,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
2004,339900,326800,298000,353000,0,247 Joshua Glen Ln,4,3,1900,179,37,3920,Sqft,185,,https://www.movoto.com/home/247-joshua-glen-ln-cary-nc-27519-413_2328295
2003,415000,426411,379000,493000,0,109 Bridgegate Dr,4,3,2787,149,3,4356,Sqft,38,,https://www.movoto.com/home/109-bridgegate-dr-cary-nc-27519-413_2295562
2000,415000,360139,292000,416000,15000,310 Canon Gate Dr,4,3,2131,195,63,0.34,Acres,48,,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
2000,355000,367136,335000,394000,12000,308 Tecumseh Ct,4,3,2464,144,119,0.29,Acres,0,,https://www.movoto.com/home/308-tecumseh-ct-cary-nc-27513-413_2313026
1999,350900,370107,351000,391000,0,107 Carswell Ln,3,3,2091,168,Listed Today,10454,Sqft,0,,https://www.movoto.com/home/107-carswell-ln-cary-nc-27519-413_2335556
1999,424900,424214,359000,473000,0,206 Moravia Ln,4,3,2702,157,6,0.26,Acres,15,,https://www.movoto.com/home/206-moravia-ln-cary-nc-27513-413_2331439
1999,450000,530136,450000,623000,0,403 Canon Gate Dr,4,3,2664,169,8,0.25,Acres,48,,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
1999,468000,561106,453000,657000,7000,106 Scots Fir Ln,4,3,3083,152,31,9148,Sqft,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
1998,458000,414509,387000,458000,0,203 Hickorywood Blvd,4,3,2543,180,29,0.31,Acres,55,,https://www.movoto.com/home/203-hickorywood-blvd-cary-nc-27519-413_2329844
1998,499900,521070,474000,572000,0,408 Burnbank Dr,3,3,3158,158,39,0.34,Acres,95,,https://www.movoto.com/home/408-burnbank-dr-cary-nc-27519-413_2327733
1997,320000,315875,303000,338000,0,308 Caraway Ln,3,3,1805,177,1,0.26,Acres,27,,https://www.movoto.com/home/308-caraway-ln-cary-nc-27519-413_2335407
1997,415000,402077,384000,453000,10000,322 Stromer Dr,4,3,2561,162,87,0.27,Acres,0,,https://www.movoto.com/home/322-stromer-dr-cary-nc-27513-pid_9fiy43b5jh
1996,498000,551278,494000,600000,20000,108 Bergeron Way,5,4,3029,164,19,0.30,Acres,55,,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
1996,479000,489300,461000,506000,28000,103 Roebling Ln,4,3,2796,171,81,0.31,Acres,33,,https://www.movoto.com/home/103-roebling-ln-cary-nc-27513-413_2319752
1996,244200,295124,244000,310000,800,113 Grande Meadow Way,3,3,1658,147,92,2178,Sqft,175,,https://www.movoto.com/home/113-grande-meadow-way-cary-nc-27513-413_2317558
1995,389900,330000,326000,389000,0,323 Stromer Dr,4,3,2200,177,Listed Today,0.25,Acres,0,Open 8/8,https://www.movoto.com/home/323-stromer-dr-cary-nc-27513-413_2335797
1995,470000,376029,345000,471000,15000,705 Modena Dr,3,3,2199,214,32,0.70,Acres,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
1995,315000,268100,257000,316000,0,104 Maple Hill Dr,3,3,1532,206,32,7841,Sqft,47,,https://www.movoto.com/home/104-maple-hill-dr-cary-nc-27519-413_2183251
1994,339900,0,325000,362000,0,509 Catlin Rd,4,3,1934,176,Listed Today,0.35,Acres,17,Open 8/8,https://www.movoto.com/home/509-catlin-rd-cary-nc-27519-413_2335786
1994,375000,0,304000,375000,0,126 Talon Dr,3,3,2003,187,8,0.25,Acres,13,,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
1994,280000,267758,239000,302000,0,101 Ferris Wheel Ct,3,3,1613,174,43,6534,Sqft,0,,https://www.movoto.com/home/101-ferris-wheel-ct-cary-nc-27513-413_2265961
1994,450000,408200,354000,494000,1000,314 Rose Valley Woods Dr,4,3,2600,173,50,0.40,Acres,14,,https://www.movoto.com/home/314-rose-valley-woods-dr-cary-nc-27513-pid_4jjy43b5jh
1994,378000,423462,352000,493000,10000,201 Palace Grn,3,3,2314,163,91,10019,Sqft,60,,https://www.movoto.com/home/201-palace-grn-cary-nc-27518-413_2317935
1993,499900,585488,500000,637000,0,104 S Fern Abbey Ln,4,3,3404,147,5,0.25,Acres,51,Open 8/8,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
1993,389900,358104,341000,389000,0,118 Bromfield Way,4,3,2082,187,14,0.30,Acres,55,Open 8/8,https://www.movoto.com/home/118-bromfield-way-cary-nc-27519-413_2333027
1993,415000,482154,416000,510000,10000,104 Firetree Ln,4,3,2771,150,90,10454,Sqft,33,,https://www.movoto.com/home/104-firetree-ln-cary-nc-27513-413_2318066
1992,444900,473880,445000,503000,0,320 Barthel Dr,4,3,2872,155,3,0.25,Acres,13,,https://www.movoto.com/home/320-barthel-dr-cary-nc-27513-413_2334906
1992,365000,0,328000,434000,10000,116 Silverridge Ct,4,4,2413,151,27,0.30,Acres,14,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
1992,475000,437562,389000,505000,17000,117 Parkcrest Dr,5,3,2701,176,33,10454,Sqft,53,,https://www.movoto.com/home/117-parkcrest-dr-cary-nc-27519-413_2329047
1990,500000,387750,357000,501000,0,319 Fairwinds Dr,4,3,2350,213,2,6534,Sqft,51,,https://www.movoto.com/home/319-fairwinds-dr-cary-nc-27518-413_2335202
1988,450000,0,339000,449000,500,101 Pinehill Way,4,3,2494,180,77,0.34,Acres,21,,https://www.movoto.com/home/101-pinehill-way-cary-nc-27513-413_2320575
1987,284900,339700,286000,366000,5000,106 Silver Fox Ct,4,2,2150,133,88,6098,Sqft,14,,https://www.movoto.com/home/106-silver-fox-ct-cary-nc-27511-413_2239594
1986,389900,376775,316000,420000,10000,10701 Bexhill Dr,3,3,2153,181,45,0.25,Acres,22,,https://www.movoto.com/home/10701-bexhill-dr-cary-nc-27518-413_2172653
1986,266000,367666,267000,384000,1000,118 Oak Hill Loop,3,3,2054,130,128,3920,Sqft,23,,https://www.movoto.com/home/118-oak-hill-loop-cary-nc-27513-413_2311312
1985,403900,404395,339000,467000,0,201 E Wind Ln,3,3,2609,155,6,4792,Sqft,301,,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
1985,340000,358618,335000,382000,0,304 Wyatts Pond Ln,3,3,2122,160,20,0.29,Acres,0,,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
1985,400000,413072,364000,462000,0,316 Tweed Cir,3,3,2347,170,34,4356,Sqft,340,,https://www.movoto.com/home/316-tweed-cir-cary-nc-27511-413_2325306
1984,387500,368420,283000,558000,2000,110 Prestwick Pl,3,3,2180,178,162,3049,Sqft,340,,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
1983,399900,934650,399000,1.56M,15000,102 Dewberry Ct,4,4,3350,119,60,0.94,Acres,0,,https://www.movoto.com/home/102-dewberry-ct-cary-nc-27518-413_2323687
1979,349900,372039,313000,417000,0,122 Flora Mcdonald Ln,3,3,2033,172,9,0.33,Acres,28,,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
1979,465000,493000,412000,539000,0,109 Overview Ln,4,3,2900,160,22,0.38,Acres,29,,https://www.movoto.com/home/109-overview-ln-cary-nc-27511-413_2331057
1978,345000,337084,310000,356000,0,291 High Meadow Dr,3,2,2068,167,10,0.27,Acres,28,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
1978,439900,410817,367000,469000,10000,100 Queensferry Rd,4,3,2321,190,21,0.48,Acres,8,Open 8/8,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
1976,350000,425790,349000,464000,0,806 Roanoke Dr,5,3,2565,136,1,0.34,Acres,0,,https://www.movoto.com/home/806-roanoke-dr-cary-nc-27513-413_2254930
1975,305000,340680,306000,369000,0,812 N Harrison Ave,4,3,2040,150,14,0.30,Acres,0,Open 8/8,https://www.movoto.com/home/812-n-harrison-ave-cary-nc-27513-413_2332967
1975,314900,263133,216000,315000,0,1128 Manchester Dr,3,2,1521,207,21,0.51,Acres,0,,https://www.movoto.com/home/1128-manchester-dr-cary-nc-27511-413_2331309
1974,350000,402948,337000,441000,0,1119 Ralph Dr,4,3,2132,164,92,0.55,Acres,0,,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
1973,330000,347106,297000,397000,0,1217 Wellington Ln,4,3,2091,158,1,0.43,Acres,0,,https://www.movoto.com/home/1217-wellington-ln-cary-nc-27511-413_2335524
1973,360000,344574,319000,366000,9000,1304 Lake Pine Dr,4,2,2127,169,38,0.33,Acres,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
1973,335900,0,336000,396000,3000,1051 Dunsford Pl,5,3,2369,142,65,0.35,Acres,0,,https://www.movoto.com/home/1051-dunsford-pl-cary-nc-27511-413_2322706
1966,350000,381464,258000,447000,0,703 Kildaire Farm Rd,5,3,2326,150,2,0.31,Acres,0,Open 8/8,https://www.movoto.com/home/703-kildaire-farm-rd-cary-nc-27511-413_2335173
1961,270000,208182,180000,271000,10000,309 Middleton Ave,4,2,1326,204,128,0.33,Acres,0,,https://www.movoto.com/home/309-middleton-ave-cary-nc-27513-413_2228546
1960,299900,220224,170000,300000,0,2601 Pink Acres St,3,2,1184,253,150,0.59,Acres,0,,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
